,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-14.290363000000001,0.0,-14.290363000000001,1,-14.145341,-1.3360971e-07,-14.145342000000001
0.0006244,2,-14.291621,0.0062000669,-14.285421,1,-14.146582999999998,0.0045491086,-14.142033999999999
0.0008759,3,-14.292224,0.0077028566,-14.284522,1,-14.147119,0.0060407726,-14.141078
0.0012286,4,-14.292966,0.0096250948,-14.283341,1,-14.147788,0.0080069835,-14.139781
0.0017234,5,-14.293870000000002,0.012014292,-14.281856,1,-14.148613000000001,0.010496139,-14.138117000000001
0.0024174,6,-14.294965,0.014932309,-14.280033,1,-14.149624,0.013508046000000001,-14.136116000000001
0.0033909,7,-14.296284,0.018468833,-14.277816,1,-14.150851000000001,0.017017451,-14.133834
0.0047565,8,-14.297864,0.022753568,-14.275110999999999,1,-14.152332999999999,0.021056208,-14.131276999999999
0.006672,9,-14.299741000000001,0.027972035,-14.271769,1,-14.154105,0.025832921000000002,-14.128273000000002
0.0093589,10,-14.301953,0.03438511,-14.267567999999999,1,-14.156204,0.031746931,-14.124457000000001
0.0131278,11,-14.304529999999998,0.042344197,-14.262185999999998,1,-14.158657,0.039274341000000004,-14.119383
0.0184145,12,-14.307484,0.05230522,-14.255179,1,-14.161473,0.048837682,-14.112635999999998
0.0258302,13,-14.310773999999999,0.064835348,-14.245939000000002,1,-14.164606,0.060777443,-14.103828
0.0362323,14,-14.314110999999999,0.080605665,-14.233506,1,-14.167784,0.07550543,-14.092279000000001
0.0508234,15,-14.317192000000002,0.10001278,-14.217179000000002,1,-14.170738,0.093518714,-14.077219
0.0712906,16,-14.320175,0.12323414,-14.196941,1,-14.173606,0.11575502,-14.057851000000001
0.1,17,-14.323170999999999,0.15119206,-14.171978,1,-14.176464999999999,0.14430257,-14.032162
0.140271,18,-14.325842999999999,0.18564611,-14.140196,1,-14.178957999999998,0.18161348,-13.997344
0.19676,19,-14.327476999999998,0.22909163,-14.098385999999998,1,-14.180341,0.22954331,-13.950798
0.275997,20,-14.326557999999999,0.28528,-14.041278,1,-14.179095000000002,0.28949988,-13.889595000000002
