,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-21.608789666,0.0,-21.608789666,-21.640401999999998,9.028008099999999e-08,-21.640401999999998
0.0006244,2,-21.608798897,2.6989208624300003e-06,-21.608796198999997,-21.640407999999997,1.8681063e-06,-21.640406
0.0008759,3,-21.608802603999997,3.7990181633999998e-06,-21.608798798,-21.64041,2.5937897999999995e-06,-21.640407
0.0012286,4,-21.608807753999997,5.3795415108e-06,-21.608802386999997,-21.640413,3.6374755e-06,-21.640409
0.0017234,5,-21.608814937,7.651421195899998e-06,-21.608807304,-21.640417000000003,5.1367514e-06,-21.640411999999998
0.0024174,6,-21.608825037,1.09151416774e-05,-21.608814145,-21.640423000000002,7.2914588e-06,-21.640416000000002
0.0033909,7,-21.60883895,1.5600452132999998e-05,-21.608823393999998,-21.640432,1.0386210000000001e-05,-21.640421
0.0047565,8,-21.608858434,2.2320928180099996e-05,-21.608836171,-21.640442999999998,1.4834568e-05,-21.640428
0.006672,9,-21.608885541,3.1950260755e-05,-21.608853568999997,-21.640459,2.1226002e-05,-21.640438
0.0093589,10,-21.608923261999998,4.5731415714999994e-05,-21.608877641,-21.640481,3.0404738e-05,-21.640451000000002
0.0131278,11,-21.608976937,6.5427024645e-05,-21.608911571,-21.640512,4.3589444e-05,-21.640469
0.0184145,12,-21.6090505,9.352315661599999e-05,-21.608957089,-21.640555,6.2512538e-05,-21.640493
0.0258302,13,-21.609153383,0.000133508007955,-21.609019982,-21.640615,8.9679439e-05,-21.640525
0.0362323,14,-21.609298593,0.00019026213029200002,-21.609107485,-21.640698,0.00012863477,-21.640569
0.0508234,15,-21.609501178,0.00027107042894999997,-21.609230369,-21.640813,0.00018486904,-21.640628
0.0712906,16,-21.609778132000002,0.00039517504864000006,-21.609383350999998,-21.640967,0.00027239489,-21.640694
0.1,17,-21.610133901,0.0006061887743099999,-21.609527366000002,-21.641156,0.00042282362000000003,-21.640732999999997
0.140271,18,-21.610563757,0.0009738610306899999,-21.609590048999998,-21.641367000000002,0.0006886586,-21.640679000000002
0.19676,19,-21.611048803000003,0.0016065190668,-21.609442349,-21.641572,0.001154864,-21.640417000000003
0.275997,20,-21.611524949999996,0.0026804256764,-21.608844486000002,-21.641698,0.0019651333,-21.639733
0.3871,21,-21.611838319,0.004476894454299999,-21.607361040999997,-21.641598000000002,0.0033600657,-21.638238
0.5431,22,-21.611642836,0.007440821671000001,-21.604201535,-21.640977,0.0057401184999999995,-21.635237
0.7617,23,-21.610319472999997,0.012132485577,-21.598186798,-21.639357999999998,0.0096609699,-21.629697
1.0685,24,-21.607707475,0.018403493062999998,-21.589304164999998,-21.636592999999998,0.015277137,-21.621315
1.4988,25,-21.604220890999997,0.025340364732999995,-21.578880883000004,-21.632957,0.022190212,-21.610767000000003
2.1024,26,-21.600062262,0.03219505435,-21.567867814000003,-21.628597,0.029956059,-21.598641
2.949,27,-21.595666448,0.03808762569,-21.5575792337,-21.623847,0.037721332,-21.586126
4.1366,28,-21.591247941,0.04270256141,-21.5485453027,-21.618876,0.044629819,-21.574246
5.8025,29,-21.586904708,0.046184852539999995,-21.5407197303,-21.613779,0.049870415,-21.563907999999998
8.1392,30,-21.582777422,0.04894543253,-21.5338319395,-21.608687,0.052940019000000005,-21.555747
11.417,31,-21.579098072,0.0515684945,-21.527529542699998,-21.603848,0.054056328,-21.549792
16.0147,32,-21.57630232,0.05467072500999999,-21.5216316627,-21.599717000000002,0.05450061900000001,-21.545217
22.464,33,-21.575205388,0.05876819922,-21.5164371985,-21.597212,0.056173902000000005,-21.541038
31.5105,34,-21.577275227,0.06417864208,-21.5130968512,-21.598122,0.06076451099999999,-21.537357999999998
