,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.274964999999998,0.0,-19.274964999999998,-19.303396,8.9208232e-08,-19.303396
0.0006244,2,-19.274975,2.6681041e-06,-19.274973000000003,-19.303403,1.8455307999999999e-06,-19.303401
0.0008759,3,-19.27498,3.7536604999999996e-06,-19.274976000000002,-19.303404999999998,2.5615629999999998e-06,-19.303403
0.0012286,4,-19.274985,5.3090676e-06,-19.27498,-19.303409,3.5878988e-06,-19.303404999999998
0.0017234,5,-19.274993,7.5408630000000005e-06,-19.274986,-19.303414,5.0607859e-06,-19.303409
0.0024174,6,-19.275005,1.0741351e-05,-19.274994,-19.303421,7.172419599999999e-06,-19.303414
0.0033909,7,-19.27502,1.5327779000000002e-05,-19.275005,-19.303431,1.0202481e-05,-19.303421
0.0047565,8,-19.275042000000003,2.1894912e-05,-19.27502,-19.303444,1.4546818e-05,-19.30343
0.006672,9,-19.275073000000003,3.1287985e-05,-19.275041,-19.303463,2.0779702000000002e-05,-19.303442
0.0093589,10,-19.275115,4.4707562e-05,-19.27507,-19.303489000000003,2.9713177e-05,-19.30346
0.0131278,11,-19.275175,6.3852897e-05,-19.275111,-19.303526,4.2526403e-05,-19.303484
0.0184145,12,-19.275257999999997,9.1116155e-05,-19.275167,-19.303577,6.0894693e-05,-19.303516000000002
0.0258302,13,-19.275374,0.00012984717,-19.275244,-19.303648000000003,8.720654e-05,-19.303561
0.0362323,14,-19.275538,0.00018471968999999997,-19.275353,-19.303748000000002,0.00012489593,-19.303623
0.0508234,15,-19.275768,0.00026228475,-19.275506,-19.303886,0.0001788968,-19.303707
0.0712906,16,-19.276089000000002,0.00037684537000000004,-19.275712,-19.304076000000002,0.00025987792,-19.303816
0.1,17,-19.276516,0.00056683221,-19.275949,-19.304320999999998,0.00039578507000000005,-19.303925
0.140271,18,-19.277051,0.0009037492300000001,-19.276147,-19.304614,0.0006395926400000001,-19.303975
0.19676,19,-19.277688,0.0014954273999999998,-19.276193,-19.304934,0.0010754775,-19.303859
0.275997,20,-19.278384,0.0025190485,-19.275865,-19.305222,0.0018469739,-19.303375
0.3871,21,-19.27901,0.0042623615,-19.274748000000002,-19.305343,0.0031977279,-19.302146
0.5431,22,-19.279266,0.007187571899999999,-19.272078,-19.305019,0.0055397143999999995,-19.29948
0.7617,23,-19.278482,0.011997495,-19.266485,-19.303703,0.009533009200000001,-19.29417
1.0685,24,-19.275686,0.019352254,-19.256334,-19.300658,0.015938346000000003,-19.28472
1.4988,25,-19.270967000000002,0.028354782999999998,-19.242612,-19.295955,0.024499001,-19.271456
2.1024,26,-19.265523,0.036928813,-19.228594,-19.290485,0.033906748,-19.256578
2.949,27,-19.259909,0.044020195,-19.215889,-19.284686999999998,0.043094324,-19.241592999999998
4.1366,28,-19.254393,0.049290934,-19.205102,-19.278801,0.051027067,-19.227774
5.8025,29,-19.24919,0.052935335,-19.196254999999997,-19.273028,0.056743207999999996,-19.216285
8.1392,30,-19.244392,0.055680805,-19.188710999999998,-19.267469000000002,0.059856565,-19.207612
11.417,31,-19.240113,0.058403448,-19.181708999999998,-19.262267,0.060881208,-19.201386
16.0147,32,-19.236931,0.061756121,-19.175175,-19.258053,0.061270955,-19.196782000000002
22.464,33,-19.236181,0.06637773,-19.169802999999998,-19.256180999999998,0.06321769,-19.192964
31.5105,34,-19.239342999999998,0.07362730599999999,-19.165716,-19.258291,0.069507551,-19.188782999999997
44.2001,35,-19.248398,0.084981499,-19.163416,-19.266844,0.082100311,-19.184743
62.0,36,-19.268651000000002,0.10078342,-19.167868,-19.288098,0.10112024,-19.186978
85.775,37,-19.309061,0.12066918,-19.188392,-19.332411999999998,0.12556171,-19.206851
